AAC,AAC HOLDINGS INC
GEOS,GEOSPACE TECHNOLOGIES
GERN,GERON CORP
GES,GUESS INC
GFF,GRIFFON CORP
GHDX,GENOMIC HEALTH INC
GHL,GREENHILL & CO INC
GHM,GRAHAM CORP
GIFI,GULF ISLAND FABRICATION
GIII,G-III APPAREL GROUP LTD
GIMO,GIGAMON INC
GKOS,GLAUKOS CORPORATION
GLBL,TERRAFORM GLOBAL INC
GLDD,GREAT LAKES DREDGE & DOC
GLNG,GOLAR LNG LTD BERMUDA
GLOG,GASLOG LTD
GLRE,GREENLIGHT CAPITAL RE LT
GLT,GLATFELTER
GLUU,GLU MOBILE INC
GMED,GLOBUS MEDICAL INC
GMRE,GLOBAL MEDICAL REIT INC
GMS,GMS INC
GNBC,GREEN BANCORP INC
GNC,GNC HLDGS INC
GNCA,GENOCEA BIOSCIENCES INC
GNCMA,GENERAL COMMUNICATION
GNE,GENIE ENERGY LTD
GNK,GENCO SHIPPING & TRADING
GNL,GLOBAL NET LEASE INC
GNMK,GENMARK DIAGNOSTICS INC
GNRC,GENERAC HOLDINGS INC
GNRT,GENER8 MARITIME INC
GNTY,GUARANTY BANCSHARES INC
GNW,GENWORTH FINANCIAL INC
GOGO,GOGO INC
GOLF,ACUSHNET HOLDINGS CORP
GOOD,GLADSTONE COMMERCIAL
GORO,GOLD RESOURCE CORP
GOV,GOVERNMENT PPTY INCOME
GPI,GROUP 1 AUTOMOTIVE INC
GPRE,GREEN PLAINS INC
GPRO,GOPRO INC
GPT,GRAMERCY PROPERTY TRUST
GPX,GP STRATEGIES CORP
GRBK,GREEN BRICK PARTNERS INC
GRC,GORMAN RUPP CO
GRIF,GRIFFIN INDUSTRIAL RLTY
GRPN,GROUPON INC
GRUB,GRUBHUB INC
GSAT,GLOBALSTAR INC
GSBC,GREAT SOUTHERN BANCORP
GSIT,GSI TECHNOLOGY
GSOL,GLOBAL SOURCES LTD
GST,GASTAR EXPL INC
GTLS,CHART INDUSTRIES INC
GTN,GRAY TELEVISION INC
GTS,TRIPLE-S MANAGEMENT CORP
GTT,GTT COMMUNICATIONS INC
GTY,GETTY REALTY CORP
GUID,GUIDANCE SOFTWARE INC
GVA,GRANITE CONSTR INC
GWB,GREAT WESTERN BANCORP
GWRS,GLOBAL WATER RESOURCES
HA,HAWAIIAN HOLDINGS INC
HABT,HABIT RESTAURANTS
HAE,HAEMONETICS CORP
HAFC,HANMI FINANCIAL CORP
HALL,HALLMARK FINL SVCS INC
HALO,HALOZYME THERAPEUTICS
HASI,HANNON ARMSTRONG SUSTAIN
HAWK,BLACKHAWK NETWORK HLDGS
HAYN,HAYNES INTERNATIONAL INC
HBCP,HOME BANCORP INC
HBHC,HANCOCK HOLDING CO
HBMD,HOWARD BANCORP INC
HBNC,HORIZON BANCORP IND
HBP,HUTTIG BUILDING PRODUCTS
HCC,WARRIOR MET COAL INC
HCCI,HERITAGE CRYL CLEAN INC
HCHC,HC2 HLDGS INC
HCI,HCI GROUP INC
HCKT,HACKETT GROUP INC
HCOM,HAWAIIAN TELCOM HOLDCO
HCSG,HEALTHCARE SVCS GRP INC
HDNG,HARDINGE INC
HDP,HORTONWORKS INC
HDSN,HUDSON TECHNOLOGIES INC
HEES,H&E EQUIPMENT SERVICES
HELE,HELEN OF TROY LTD
HF,HFF INC
HFWA,HERITAGE FINANCIAL CORP
HI,HILLENBRAND INC
HIBB,HIBBETT SPORTS INC
HIFR,INFRAREIT INC
HIFS,HINGHAM INSTN SVGS MASS
HIIQ,HEALTH INS INNOVATIONS
HIL,HILL INTERNATIONAL INC
HIVE,AEROHIVE NETWORKS INC
HK,HALCON RESOURCES CORP
HL,HECLA MINING CO
HLI,HOULIHAN LOKEY INC
HLIT,HARMONIC INC
HLNE,HAMILTON LANE INC
HLS,HEALTHSOUTH CORP
HLX,HELIX ENERGY SOLUTIONS
HMHC,HOUGHTON MIFFLIN HARCOUR
HMN,HORACE MANN EDUCATORS
HMST,HOMESTREET INC
HMSY,HMS HOLDINGS CORP
HMTV,HEMISPHERE MEDIA GROUP
HNH,HANDY & HARMAN HLDGS LTD
HNI,HNI CORPORATION
HNRG,HALLADOR ENERGY CO
HOFT,HOOKER FURNITURE CORP
HOMB,HOME BANCSHARES INC
HOME,AT HOME GROUP INC
HONE,HARBORONE BANCORP INC
HOPE,HOPE BANCORP INC
HOV,HOVNANIAN ENTERPRISES
HQY,HEALTHEQUITY INC
HR,HEALTHCARE REALTY TRUST
HRG,HRG GROUP INC
HRI,HERC HOLDING INC
HRTG,HERITAGE INS HLDGS INC
HRTX,HERON THERAPEUTICS INC
HSC,HARSCO CORP
HSII,HEIDRICK & STRUGGLES
HSKA,HESKA CORP
HSNI,HSN INC
HSTM,HEALTHSTREAM INC
HT,HERSHA HOSPITALITY TRUST
HTBI,HOMETRUST BANCSHARES INC
HTBK,HERITAGE COMMERCE CORP
HTH,HILLTOP HOLDINGS INC
HTLD,HEARTLAND EXPRESS INC
HTLF,HEARTLAND FINANCIAL USA
HTZ,HERTZ GLOBAL HOLDINGS
HUBG,HUB GROUP INC
HUBS,HUBSPOT INC
HURC,HURCO COMPANIES INC
HURN,HURON CONSULTING GROUP
HVT,HAVERTY FURNITURE INC
HWKN,HAWKINS INC
HY,HYSTER-YALE MATERIALS
HYH,HALYARD HEALTH INC
HZN,HORIZON GLOBAL CORP
HZNP,HORIZON PHARMA PLC
HZO,MARINEMAX INC
I,INTELSAT SA
IART,INTEGRA LIFESCIENCES
IBCP,INDEPENDENT BANK CORP
IBKC,IBERIABANK CORP
IBOC,INTERNATIONAL BANCSHARES
IBP,INSTALLED BLDNG PRODUCTS
IBTX,INDEPENDENT BK GROUP INC
ICBK,COUNTY BANCORP INC
ICD,IND CONTRACT DRILLING
ICFI,ICF INTERNATIONAL INC
ICHR,ICHOR HOLDINGS INC
ICON,ICONIX BRAND GROUP INC
ICUI,ICU MEDICAL INC
IDA,IDACORP INC
IDCC,INTERDIGITAL INC
IDRA,IDERA PHARMACEUTICALS
IDT,IDT CORP
IDTI,INTEGRATED DEVICE TECH
IESC,IES HOLDINGS INC
IHC,INDEPENDENCE HOLDING CO
III,INFORMATION SERVICES GRP
IIIN,INSTEEL INDUSTRIES INC
IIVI,II VI INC
ILG,ILG INC
IMAX,IMAX CORP
IMDZ,IMMUNE DESIGN CORP
IMGN,IMMUNOGEN INC
IMH,IMPAC MTG HLDGS INC
IMKTA,INGLES MARKETS INC
IMMR,IMMERSION CORP
IMMU,IMMUNOMEDICS INC
IMPV,IMPERVA INC
INAP,INTERNAP CORPORATION
INBK,FIRST INTERNET BANCORP
INCR,INC RESEARCH HOLDINGS
INDB,INDEPENDENT BANK MA
INFN,INFINERA CORP
INGN,INOGEN INC
INN,SUMMIT HOTEL PPTYS
INO,INOVIO PHARMACEUTICALS
INOV,INOVALON HOLDINGS INC
INSE,INSPIRED ENTERTAINMENT
INSM,INSMED INC
INST,INSTRUCTURE INC
INSW,INTERNATIONAL SEAWAYS
INSY,INSYS THERAPEUTICS INC
INTL,INTL FCSTONE INC
INVA,INNOVIVA INC
INWK,INNERWORKINGS INC
IOSP,INNOSPEC INC
IPAR,INTER PARFUMS INC
IPCC,INFINITY PPTY & CAS CORP
IPHI,INPHI CORP
IPHS,INNOPHOS HOLDINGS INC
IPI,INTREPID POTASH INC
IPXL,IMPAX LABORATORIES INC
IRBT,IROBOT CORP
IRDM,IRIDIUM COMMUNICATIONS
IRET,INVESTORS REAL ESTATE TR
IRT,INDEPENDENCE RLTY TRUST
IRTC,IRHYTHM TECHNOLOGIES INC
IRWD,IRONWOOD PHARMACEUTICALS
ISBC,INVESTORS BANCORP INC
ISCA,INTERNATIONAL SPEEDWAY
ISRL,ISRAMCO INC
ISTR,INVESTAR HOLDING CORP
ITCI,INTRA CELLULAR THERAPIES
ITG,INVESTMENT TECHNOLOGY
ITGR,INTEGER HOLDINGS CORP
ITI,ITERIS INC
ITIC,INVESTORS TITLE CO
ITRI,ITRON INC
IVAC,INTEVAC INC
IVC,INVACARE CORP
IVR,INVESCO MORTGAGE CAP
IXYS,IXYS CORP
JACK,JACK IN THE BOX INC
JAG,JAGGED PEAK ENERGY INC
JAX,J ALEXANDERS HOLDINGS
JBSS,SANFILIPPO JOHN B & SON
JBT,JOHN BEAN TECH CORP
JCAP,JERNIGAN CAP INC
JCOM,J2 GLOBAL INC
JCP,PENNEY J C INC
JELD,JELD-WEN HOLDING INC
JILL,JJILL INC
JJSF,J & J SNACK FOODS CO
JNCE,JOUNCE THERAPEUTICS INC
JOE,ST JOE CO
JONE,JONES ENERGY INC
JOUT,JOHNSON OUTDOORS INC
JRVR,JAMES RIVER GROUP HLDG
KAI,KADANT INC
KALU,KAISER ALUMINUM CORP
KAMN,KAMAN CORP
KBAL,KIMBALL INTERNATIONAL
KBH,KB HOME
KBR,KBR INC
KCG,KCG HOLDINGS INC
KE,KIMBALL ELECTRONICS INC
KEG,KEY ENERGY SERVICES INC
KELYA,KELLY SERVICES INC
KEM,KEMET CORP
KERX,KERYX BIOPHARMACEUTICALS
KEYW,KEYW HOLDING CORP
KFRC,KFORCE INC
KFY,KORN FERRY INTERNATIONAL
KIN,KINDRED BIOSCIENCES INC
KINS,KINGSTONE COS INC
KIRK,KIRKLANDS INC
KITE,KITE PHARMA INC
KLDX,KLONDEX MINES LTD
KLXI,KLX INC
KMG,KMG CHEMICALS INC
KMPR,KEMPER CORPORATION
KMT,KENNAMETAL INC
KN,KNOWLES CORPORATION
KND,KINDRED HEALTHCARE INC
KNL,KNOLL INC
KNSL,KINSALE CAPITAL GROUP
KNX,KNIGHT TRANSPORTATION
KODK,EASTMAN KODAK CO
KOP,KOPPERS HOLDINGS INC
KOPN,KOPIN CORP
KPTI,KARYOPHARM THERAPEUTICS
KRA,KRATON CORPORATION
KREF,KKR REAL ESTATE FINANCE
KRG,KITE REALTY GROUP TRUST
KRNY,KEARNY FINANCIAL CORP
KRO,KRONOS WORLDWIDE INC
KS,KAPSTONE PAPER AND PACK
KTOS,KRATOS DEFENSE & SEC SOL
KTWO,K2M GROUP HLDGS INC
KURA,KURA ONCOLOGY INC
KVHI,KVH INDUSTRIES INC
KW,KENNEDY-WILSON HLDGS INC
KWR,QUAKER CHEMICAL CORP
LABL,MULTI COLOR CORP
LAD,LITHIA MOTORS INC
LADR,LADDER CAPITAL CORP
LANC,LANCASTER COLONY CORP
LAUR,LAUREATE EDUCATION INC
LAWS,LAWSON PRODUCTS INC
LAYN,LAYNE CHRISTENSEN CO
LBAI,LAKELAND BANCORP INC
LBIO,LION BIOTECHNOLOGIES INC
LBY,LIBBEY INC
LC,LENDINGCLUB CORPORATION
LCI,LANNETT CO INC
LCII,LCI INDUSTRIES
LCNB,LCNB CORP
LCUT,LIFETIME BRANDS INC
LDL,LYDALL INC
LDR,LANDAUER INC
LE,LANDS END INC
LFGR,LEAF GROUP LTD
LFUS,LITTELFUSE INC
LGIH,LGI HOMES INC
LGND,LIGAND PHARMACEUTICALS
LHCG,LHC GROUP INC
LHO,LASALLE HOTEL PROPERTIES
LIND,LINDBLAD EXPEDITIONS INC
LION,FIDELITY SOUTHERN CORP
LITE,LUMENTUM HOLDINGS INC
LIVN,LIVANOVA PLC
LJPC,LA JOLLA PHARMACEUTICAL
LKFN,LAKELAND FINANCIAL CORP
LKSD,LSC COMMUNICATIONS
LL,LUMBER LIQUIDATORS HLDGS
LLEX,LILIS ENERGY INC
LLNW,LIMELIGHT NETWORKS INC
LMAT,LEMAITRE VASCULAR INC
LMIA,LMI AEROSPACE INC
LMNR,LIMONEIRA CO
LMNX,LUMINEX CORP
LMOS,LUMOS NETWORKS CORP
LNCE,SNYDER'S-LANCE INC
LNDC,LANDEC CORP
LNN,LINDSAY CORP
LNTH,LANTHEUS HOLDINGS INC
LOB,LIVE OAK BANCSHARES INC
LOCO,EL POLLO LOCO HLDGS INC
LOPE,GRAND CANYON EDUCATION
LORL,LORAL SPACE & COMM
LOXO,LOXO ONCOLOGY INC
LPG,DORIAN LPG LTD
LPSN,LIVEPERSON INC
LPX,LOUISIANA PACIFIC CORP
LQ,LA QUINTA HLDGS INC
LQDT,LIQUIDITY SERVICES INC
LRN,K12 INC
LSCC,LATTICE SEMICONDUCTOR
LTC,LTC PROPERTIES INC
LTRPA,LIBERTY TRIPADVISOR HLDG
LTS,LADENBURG THALMAN FIN
LTXB,LEGACYTEXAS FIN GROUP
LWAY,LIFEWAY FOODS INC
LXP,LEXINGTON REALTY TRUST
LXRX,LEXICON PHARMACEUTICALS
LXU,LSB INDUSTRIES INC
LYTS,LSI INDUSTRIES INC
LZB,LA Z BOY INC
MACK,MERRIMACK PHARMACEUTICAL
MANT,MANTECH INTERNATIONAL
MASI,MASIMO CORPORATION
MATW,MATTHEWS INTERNATIONAL
MATX,MATSON INC
MB,MINDBODY INC
MBCN,MIDDLEFIELD BANC CORP
MBFI,MB FINANCIAL INC
MBI,MBIA INC
MBTF,MBT FINL CORP
MBUU,MALIBU BOATS INC
MBWM,MERCANTILE BANK CORP
MC,MOELIS & CO
MCBC,MACATAWA BANK CORP
MCF,CONTANGO OIL & GAS CO
MCFT,MCBC HOLDINGS INC
MCRB,SERES THERAPEUTICS INC
MCRI,MONARCH CASINO & RESORT
MCRN,MILACRON HOLDINGS CORP
MCS,MARCUS CORP
MDC,MDC HOLDINGS INC
MDCA,MDC CORP
MDCO,MEDICINES CO
MDGL,MADRIGAL PHARMACEUTICALS
MDLY,MEDLEY MANAGEMENT INC
MDP,MEREDITH CORP
MDR,MCDERMOTT INTL INC
MDRX,ALLSCRIPTS HEALTHCARE
MDSO,MEDIDATA SOLUTIONS INC
MDXG,MIMEDX GROUP INC
MED,MEDIFAST INC
MEDP,MEDPACE HOLDINGS INC
MEET,THE MEET GROUP
MEI,METHODE ELECTRS INC
METC,RAMACO RESOURCES INC
MFSF,MUTUALFIRST FINL INC
MG,MISTRAS GROUP INC
MGEE,MGE ENERGY INC
MGEN,MIRAGEN THERAPEUTICS
MGI,MONEYGRAM INTERNATIONAL
MGLN,MAGELLAN HEALTH INC
MGNX,MACROGENICS INC
MGPI,MGP INGREDIENTS INC
MGRC,MCGRATH RENTCORP
MHLD,MAIDEN HOLDINGS LTD
MHO,M/I HOMES INC
MINI,MOBILE MINI INC
MITK,MITEK SYS INC
MITT,AG MORTGAGE INVT TR INC
MJCO,MAJESCO
MKSI,MKS INSTRUMENTS INC
MLAB,MESA LABS INC
MLHR,HERMAN MILLER INC
MLI,MUELLER INDUSTRIES INC
MLP,MAUI LAND & PINEAPPLE CO
MLR,MILLER INDUSTRIES INC
MLVF,MALVERN BANCORP INC
MMI,MARCUS & MILLICHAP
MMS,MAXIMUS INC
MMSI,MERIT MED SYSTEMS INC
MNOV,MEDICINOVA INC
MNR,MONMOUTH REAL ESTATE
MNRO,MONRO MUFFLER BRAKE INC
MNTA,MOMENTA PHARMACEUTICALS
MOBL,MOBILEIRON INC
MOD,MODINE MANUFACTURING CO
MODN,MODEL N INC
MOFG,MIDWESTONE FINL GROUP
MOG.A,MOOG INC
MOH,MOLINA HEALTHCARE INC
MORE,MONOGRAM RESIDENTIAL TR
MOV,MOVADO GROUP INC
MPAA,MOTORCAR PTS AMERICA INC
MPO,MIDSTATES PETROLEUM CO
MPWR,MONOLITHIC POWER SYSTEMS
MPX,MARINE PRODUCTS CORP
MRC,MRC GLOBAL INC
MRCY,MERCURY SYSTEMS INC
MRLN,MARLIN BUSINESS SVCS
MRT,MEDEQUITIES REALTY TRUST
MRTN,MARTEN TRANS LTD
MSA,MSA SAFETY INC
MSBI,MIDLAND STATES BANCORP
MSEX,MIDDLESEX WATER CO
MSFG,MAINSOURCE FINANCIAL GRP
MSGN,MSG NETWORKS INC
MSL,MIDSOUTH BANCORP INC
MSTR,MICROSTRATEGY INC
MTDR,MATADOR RES CO
MTG,MGIC INVESTMENT CORP
MTGE,MTGE INVESTMENT CORP
MTH,MERITAGE HOMES CORP
MTNB,MATINAS BIOPHARMA HLDG
MTOR,MERITOR INC
MTRN,MATERION CORPORATION
MTRX,MATRIX SERVICE CO
MTSC,MTS SYSTEMS CORP
MTSI,MACOM TECH SOLUTIONS
MTW,MANITOWOC CO INC
MTX,MINERALS TECHNOLOGIES
MTZ,MASTEC INC
MULE,MULESOFT INC
MVIS,MICROVISION INC
MWA,MUELLER WTR PRODS INC
MXL,MAXLINEAR INC
MXWL,MAXWELL TECHNOLOGIES INC
MYCC,CLUBCORP HOLDINGS
MYE,MYERS INDUSTRIES INC
MYGN,MYRIAD GENETICS INC
MYOK,MYOKARDIA INC
MYRG,MYR GROUP INC
NAME,RIGHTSIDE GROUP LTD
NANO,NANOMETRICS INC
NAT,NORDIC AMERICAN TANKER
NATH,NATHANS FAMOUS INC
NATR,NATURES SUNSHINE PRODS
NAV,NAVISTAR INTL CORP
NAVG,NAVIGATORS GROUP INC
NBHC,NATIONAL BANK HOLDINGS
NBN,NORTHEAST BANCORP
NBTB,NBT BANCORP INC
NC,NACCO INDUSTRIES INC
NCBS,NICOLET BANKSHARES INC
NCI,NAVIGANT CONSULTING INC
NCIT,NCI INC
NCMI,NATIONAL CINEMEDIA INC
NCOM,NATIONAL COMM CORP
NCS,NCI BUILDING SYSTEMS INC
NCSM,NCS MULTISTAGE HOLD
NDLS,NOODLES & COMPANY
NE,NOBLE CORPORATION PLC
NEFF,NEFF CORP
NEO,NEOGENOMICS INC
NEOG,NEOGEN CORP
NEOS,NEOS THERAPEUTICS INC
NERV,MINERVA NEUROSCIENCES
NEWM,NEW MEDIA INVT GROUP INC
NEWR,NEW RELIC INC
NEWS,NEWSTAR FINANCIAL INC
NFBK,NORTHFIELD BANCORP INC
NGHC,NATIONAL GEN HLDGS CORP
NGS,NATURAL GAS SERVICES GRP
NGVC,NATURAL GROCERS VITA CTG
NGVT,INGEVITY CORPORATION
NH,NANTHEALTH INC
NHC,NATIONAL HEALTHCARE CORP
NHI,NATIONAL HEALTH INVS INC
NHTC,NATURAL HEALTH TRENDS CO
NJR,NEW JERSEY RESOURCES
NK,NANTKWEST INC
NKSH,NATIONAL BANKSHARES INC
NKTR,NEKTAR THERAPEUTICS
NL,NL INDUSTRIES INC
NLNK,NEWLINK GENETICS CORP
NLS,NAUTILUS INC
NM,NAVIOS MARITIME HOLDINGS
NMIH,NMI HLDGS INC
NNA,NAVIOS MARITIME ACQUIS
NNBR,NN INC
NNI,NELNET INC
NODK,NI HOLDINGS INC
NOVT,NOVANTA INC
NP,NEENAH PAPER INC
NPK,NATIONAL PRESTO INDS INC
NPO,ENPRO INDUSTRIES INC
NPTN,NEOPHOTONICS CORP
NR,NEWPARK RESOURCES INC
NRCIA,NATIONAL RESEARCH CORP
NRE,NORTHSTAR REALTY EUROPE
NRIM,NORTHRIM BANCORP INC
NSA,NATIONAL STORAGE AFFIL
NSIT,INSIGHT ENTERPRISES INC
NSM,NATIONSTAR MTG HLDGS INC
NSP,INSPERITY INC
NSR,NEUSTAR INC
NSSC,NAPCO SEC TECHNOLOGIES
NSTG,NANOSTRING TECH INC
NTB,BANK OF NT BUTTERFIELD
NTCT,NETSCOUT SYSTEMS INC
NTGR,NETGEAR INC
NTLA,INTELLA THERAPEUTICS INC
NTNX,NUTANIX INC
NTRA,NATERA INC
NTRI,NUTRI SYSTEM INC
NUTR,NUTRACEUTICAL INTL CORP
NUVA,NUVASIVE INC
NVAX,NOVAVAX INC
NVCR,NOVOCURE LTD
NVEC,NVE CORP
NVEE,NV5 GLOBAL INC
NVLN,NOVELION THERAPEUTICS
NVRO,NEVRO CORP
NVTA,INVITAE CORPORATION
NWBI,NORTHWEST BANCSHARES INC
NWE,NORTHWESTERN CORP
NWFL,NORWOOD FINANCIAL CORP
NWHM,NEW HOME COMPANY INC
NWLI,NATIONAL WESTERN LIFE
NWN,NORTHWEST NATURAL GAS CO
NWPX,NORTHWEST PIPE CO
NX,QUANEX BUILDING PRODUCTS
NXEO,NEXEO SOLUTIONS INC
NXRT,NEXPOINT RESIDENTIAL TR
NXST,NEXSTAR MEDIA GROUP INC
NXTM,NXSTAGE MEDICAL INC
NYLD,NRG YIELD INC CL C
NYLD.A,NRG YIELD INC CL A
NYMT,NEW YORK MTG TR INC
NYMX,NYMOX PHARMACEUTICAL
NYNY,EMPIRE RESORTS INC
NYT,NEW YORK TIMES CO
OAS,OASIS PETE INC
OB,ONEBEACON INSURANCE GRP
OBLN,OBALON THERAPEUTICS INC
OCFC,OCEANFIRST FINANCIAL
OCLR,OCLARO INC
OCN,OCWEN FINANCIAL CORP
OCUL,OCULAR THERAPEUTIX INC
OCX,ONCOCYTE CORPORATION
ODC,OIL DRI CORP OF AMERICA
ODP,OFFICE DEPOT INC
OFED,OCONEE FEDERAL FINANCIAL
OFG,OFG BANCORP
OFIX,ORTHOFIX INTL NV
OFLX,OMEGA FLEX INC
OGS,ONE GAS INC
OIS,OIL STATES INTERNATIONAL
OKSB,SOUTHWEST BANCORP INC OK
OKTA,OKTA INC
OLBK,OLD LINE BANCSHARES INC
OLLI,OLLIES BARGAIN OUTLET
OLP,ONE LIBERTY PROPERTIES
OMAM,OM ASSET MANAGEMENT
OMCL,OMNICELL INC
OME,OMEGA PROTEIN CORP
OMER,OMEROS CORP
OMI,OWENS & MINOR INC
OMN,OMNOVA SOLUTIONS INC
OMNT,OMINTO INC
ONB,OLD NATIONAL BANCORP
ONCE,SPARK THERAPEUTICS INC
ONDK,ON DECK CAPITAL INC
ONVO,ORGANOVO HLDGS INC
OOMA,OOMA INC
OPB,OPUS BK IRVINE CALIF
OPOF,OLD POINT FINL CORP
OPY,OPPENHEIMER HOLDINGS INC
ORA,ORMAT TECHNOLOGIES INC
ORBC,ORBCOMM INC
ORC,ORCHID ISLAND CAPITAL
ORIT,ORITANI FINANCIAL CORP
ORM,OWENS RLTY MTG INC
ORN,ORION GROUP HOLDINGS
ORRF,ORRSTOWN FINL SVCS INC
OSBC,OLD SECOND BANCORP INC
OSG,OVERSEAS SHIPHOLDING INC
OSIS,OSI SYSTEMS INC
OSTK,OVERSTOCK COM INC
OSUR,ORASURE TECHNOLOGIES INC
OTIC,OTONOMY INC
OTTR,OTTER TAIL CORP
OVBC,OHIO VY BANC CORP
OVID,OVID THERAPEUTICS INC
OXFD,OXFORD IMMUNOTEC GLOBAL
OXM,OXFORD INDUSTRIES INC
PACB,PACIFIC BIOSCIENCES CA
PAHC,PHIBRO ANIMAL HEALTH
PARR,PAR PACIFIC HOLDINGS INC
PATK,PATRICK INDS INC
PAY,VERIFONE SYSTEMS INC
PAYC,PAYCOM SOFTWARE INC
PBH,PRESTIGE BRANDS HOLDINGS
PBIP,PRUDENTIAL BANCORP INC
PBNC,PARAGON COMMERCIAL CORP
PBPB,POTBELLY CORPORATION
PBYI,PUMA BIOTECHNOLOGY INC
PCBK,PACIFIC CONTINENTAL CORP
PCH,POTLATCH CORP
PCMI,PCM INC
PCO,PENDRELL CORP
PCRX,PACIRA PHARMACEUTICALS
PCSB,PCSB FINANCIAL CORP
PCTY,PAYLOCITY HLDG CORP
PCYG,PARK CITY GROUP INC
PCYO,PURECYCLE CORP
PDCE,PDC ENERGY INC
PDFS,PDF SOLUTIONS INC
PDLI,PDL BIOPHARMA INC
PDVW,PDVWIRELESS INC
PEB,PEBBLEBROOK HOTEL TRUST
PEBK,PEOPLES BANCORP N C INC
PEBO,PEOPLES BANCORP INC
PEGA,PEGASYSTEMS INC
PEGI,PATTERN ENERGY GROUP INC
PEI,PENNSYLVANIA REAL ESTATE
PEIX,PACIFIC ETHANOL INC
PEN,PENUMBRA INC
PENN,PENN NATIONAL GAMING INC
PERY,ELLIS PERRY INTL INC
PES,PIONEER ENERGY SERVICES
PETS,PETMED EXPRESS INC
PETX,ARATANA THERAPEUTICS INC
PFBC,PREFERRED BANK
PFBI,PREMIER FINL BANCORP INC
PFGC,PERFORMANCE FOOD GROUP
PFIS,PEOPLES FINL SVCS CORP
PFPT,PROOFPOINT INC
PFS,PROVIDENT FINANCIAL SVCS
PFSI,PENNYMAC FINL SVCS INC
PGC,PEAPACK-GLADSTONE FINL
PGEM,PLY GEM HLDGS INC
PGNX,PROGENICS PHARMACEUTICAL
PGTI,PGT INNOVATIONS INC
PHH,PHH CORPORATION
PHIIK,PHI INC
PHX,PANHANDLE OIL AND GAS
PI,IMPINJ INC
PICO,PICO HOLDINGS INC
PIR,PIER 1 IMPORTS INC
PIRS,PIERIS PHARMACEUTICALS
PJC,PIPER JAFFRAY COMPANIES
PJT,PJT PARTNERS INC
PKBK,PARKE BANCORP INC
PKD,PARKER DRILLING CO
PKE,PARK ELECTROCHEMICAL
PKOH,PARK OHIO HOLDINGS CORP
PKY,PARKWAY INC
PLAB,PHOTRONICS INC
PLAY,DAVE & BUSTERS ENTMT INC
PLCE,CHILDRENS PLACE INC
PLNT,PLANET FITNESS INC
PLOW,DOUGLAS DYNAMICS INC
PLPC,PREFORMED LINE PRODUCTS
PLPM,PLANET PAYMENT INC
PLSE,PULSE BIOSCIENCES INC
PLT,PLANTRONICS INC
PLUG,PLUG POWER INC
PLUS,EPLUS INC
PLXS,PLEXUS CORP
PMBC,PACIFIC MERCANTILE BANCO
PMC,PHARMERICA CORP
PMT,PENNYMAC MORTGAGE INV
PMTS,CPI CARD GROUP INC
PNK,PINNACLE ENTERTAINMENT
PNM,PNM RESOURCES INC
PODD,INSULET CORP
POL,POLYONE CORP
POR,PORTLAND GEN ELEC CO
POWI,POWER INTEGRATIONS INC
POWL,POWELL INDUSTRIES INC
PPBI,PACIFIC PREMIER BANCORP
PRAA,PRA GROUP INC
PRAH,PRA HEALTH SCIENCES INC
PRFT,PERFICIENT INC
PRGS,PROGRESS SOFTWARE CORP
PRI,PRIMERICA INC
PRIM,PRIMORIS SVCS CORP
PRK,PARK NATIONAL CORP
PRLB,PROTO LABS INC
PRMW,PRIMO WTR CORP
PRO,PROS HOLDINGS INC
PROV,PROVIDENT FINL HLDGS INC
PRSC,PROVIDENCE SERVICE CORP
PRTA,PROTHENA CORP PLC
PRTK,PARATEK PHARMACEUTICALS
PRTY,PARTY CITY HOLDCO INC
PRXL,PAREXEL INTERNATIONAL
PSB,PS BUSINESS PARKS INC
PSDO,PRESIDIO INC
PSMT,PRICESMART INC
PSTB,PARK STERLING CORP
PSTG,PURE STORAGE INC
PTCT,PTC THERAPEUTICS INC
PTGX,PROTAGONIST THERAPEUTICS
PTLA,PORTOLA PHARMACEUTICALS
PUB,PEOPLES UTAH BANCORP
PUMP,PROPETRO HOLDING CO
PVAC,PENN VIRGINIA CORP
PVBC,PROVIDENT BANCORP INC
PWOD,PENNS WOODS BANCORP INC
PXLW,PIXELWORKS INC
PZN,PZENA INVESTMENT MGMT
PZZA,PAPA JOHNS INTERNATIONAL
QADA,QAD INC
QCP,QUALITY CARE PROPERTIES
QCRH,QCR HOLDINGS INC
QDEL,QUIDEL CORP
QLYS,QUALYS INC
QNST,QUINSTREET INC
QSII,QUALITY SYSTEMS INC
QTM,QUANTUM CORP
QTNA,QUANTENNA COMMUNICATIONS
QTNT,QUOTIENT LIMITED
QTS,QTS REALTY TRUST INC
QTWO,Q2 HLDGS INC
QUAD,QUAD / GRAPHICS INC
QUOT,QUOTIENT TECHNOLOGY INC
RAIL,FREIGHTCAR AMERICA INC
RARE,ULTRAGENYX PHARMA
RARX,RA PHARMACEUTICALS INC
RAS,RAIT FINANCIAL TRUST
RATE,BANKRATE INC
RAVN,RAVEN INDUSTRIES INC
RBCAA,REPUBLIC BANCORP INC KY
RCII,RENT A CENTER INC
RCM,R1 RCM INC
RDC,ROWAN COMPANIES PLC
RDI,READING INTERNATIONAL
RDN,RADIAN GROUP INC
RDNT,RADNET INC
RDUS,RADIUS HEALTH INC
RECN,RESOURCES CONNECTION
